time,N,dead,CTL,con,tumrad,deaths,eg7
0,180,0,0,0,11.8743,0,93
0.000694444,180,0,0,0,11.8743,0,93
0.00138889,180,0,0,0,11.8743,0,93
0.00208333,180,0,0,0,11.8743,0,93
0.00277778,182,0,0,0,11.8743,0,94
0.00347222,183,0,0,0,11.8743,0,95
0.00416667,183,0,0,0,11.8743,0,95
0.00486111,183,0,0,0,11.8743,0,95
0.00555556,184,0,0,0,11.8743,0,96
0.00625,186,0,0,0,12.2474,0,97
0.00694444,187,0,0,0,12.2474,0,97
0.00763889,187,0,0,0,12.2474,0,97
0.00833333,187,0,0,0,12.2474,0,97
0.00902778,187,0,0,0,12.2474,0,97
0.00972222,188,0,0,0,12.2474,0,97
0.0104167,188,0,0,0,12.2474,0,97
0.0111111,188,0,0,0,12.2474,0,97
0.0118056,188,0,0,0,12.2474,0,97
0.0125,188,0,0,0,12.2474,0,97
0.0131944,189,0,0,0,12.2474,0,97
0.0138889,189,0,0,0,12.2474,0,97
0.0145833,189,0,0,0,12.2474,0,97
0.0152778,189,0,0,0,12.2474,0,97
0.0159722,189,0,0,0,12.2474,0,97
0.0166667,190,0,0,0,12.2474,0,97
0.0173611,190,0,0,0,12.2474,0,97
0.0180556,190,0,0,0,12.2474,0,97
0.01875,191,0,0,0,12.3693,0,98
0.0194444,191,0,0,0,12.3693,0,98
0.0201389,191,0,0,0,12.3693,0,98
0.0208333,191,0,0,0,12.3693,0,98
0.0215278,193,0,0,0,12.53,0,100
0.0222222,194,0,0,0,12.53,0,100
0.0229167,194,0,0,0,12.53,0,100
0.0236111,194,0,0,0,12.53,0,100
0.0243056,194,0,0,0,12.53,0,100
0.025,194,0,0,0,12.53,0,100
0.0256944,194,0,0,0,12.53,0,100
0.0263889,196,0,0,0,13.4536,0,101
0.0270833,198,0,0,0,13.4536,0,101
0.0277778,199,0,0,0,13.4536,0,101
0.0284722,199,0,0,0,13.4536,0,101
0.0291667,199,0,0,0,13.4536,0,101
0.0298611,199,0,0,0,13.4536,0,101
0.0305556,199,0,0,0,13.4536,0,101
0.03125,200,0,0,0,13.4536,0,102
0.0319444,200,0,0,0,13.4536,0,102
0.0326389,200,0,0,0,13.4536,0,102
0.0333333,200,0,0,0,13.4536,0,102
0.0340278,201,0,0,0,13.4536,0,103
0.0347222,201,0,0,0,13.4536,0,103
0.0354167,201,0,0,0,13.4536,0,103
0.0361111,201,0,0,0,13.4536,0,103
0.0368056,201,0,0,0,13.4536,0,103
0.0375,202,0,0,0,13.4536,0,103
0.0381945,202,0,0,0,13.4536,0,103
0.0388889,202,0,0,0,13.4536,0,103
0.0395834,205,0,0,0,13.4536,0,105
0.0402778,206,0,0,0,13.4536,0,106
0.0409722,207,0,0,0,13.4536,0,106
0.0416667,207,0,0,0,13.4536,0,106
0.0423611,207,0,0,0,13.4536,0,106
0.0430556,208,0,0,0,13.4536,0,107
0.04375,208,0,0,0,13.4536,0,107
0.0444445,208,0,0,0,13.4536,0,107
0.0451389,208,0,0,0,13.4536,0,107
0.0458334,208,0,0,0,13.4536,0,107
0.0465278,208,0,0,0,13.4536,0,107
0.0472223,208,0,0,0,13.4536,0,107
0.0479167,208,0,0,0,13.4536,0,107
0.0486112,208,0,0,0,13.4536,0,107
0.0493056,208,0,0,0,13.4536,0,107
0.05,209,0,0,0,13.4536,0,107
0.0506945,209,0,0,0,13.4536,0,107
0.0513889,209,0,0,0,13.4536,0,107
0.0520834,210,0,0,0,13.4536,0,108
0.0527778,210,0,0,0,13.4536,0,108
0.0534723,210,0,0,0,13.4536,0,108
0.0541667,211,0,0,0,13.4536,0,108
0.0548612,212,0,0,0,13.4536,0,108
0.0555556,212,0,0,0,13.4536,0,108
0.0562501,212,0,0,0,13.4536,0,108
0.0569445,213,0,0,0,13.4536,0,108
0.057639,214,0,0,0,13.4536,0,108
0.0583334,214,0,0,0,13.4536,0,108
0.0590279,215,0,0,0,13.4536,0,109
0.0597223,215,0,0,0,13.4536,0,109
0.0604167,215,0,0,0,13.4536,0,109
0.0611112,216,0,0,0,13.4536,0,109
0.0618056,216,0,0,0,13.4536,0,109
0.0625001,216,0,0,0,13.4536,0,109
0.0631945,216,0,0,0,13.4536,0,109
0.063889,216,0,0,0,13.4536,0,109
0.0645834,216,0,0,0,13.4536,0,109
0.0652779,216,0,0,0,13.4536,0,109
0.0659723,218,0,0,0,13.4536,0,110
0.0666668,219,0,0,0,13.4536,0,110
0.0673612,219,0,0,0,13.4536,0,110
0.0680557,219,0,0,0,13.4536,0,110
0.0687501,219,0,0,0,13.4536,0,110
0.0694445,219,0,0,0,13.4536,0,110
0.070139,220,0,0,0,13.4536,0,111
0.0708334,220,0,0,0,13.4536,0,111
0.0715279,220,0,0,0,13.4536,0,111
0.0722223,220,0,0,0,13.4536,0,111
0.0729168,220,0,0,0,13.4536,0,111
0.0736112,220,0,0,0,13.4536,0,111
0.0743057,221,0,0,0,13.4536,0,111
0.0750001,221,0,0,0,13.4536,0,111
0.0756946,221,0,0,0,13.4536,0,111
0.076389,221,0,0,0,13.4536,0,111
0.0770835,222,0,0,0,13.4536,0,111
0.0777779,222,0,0,0,13.4536,0,111
0.0784723,222,0,0,0,13.4536,0,111
0.0791668,222,0,0,0,13.4536,0,111
0.0798612,222,0,0,0,13.4536,0,111
0.0805557,223,0,0,0,13.4536,0,111
0.0812501,224,0,0,0,13.4536,0,111
0.0819446,224,0,0,0,13.4536,0,111
0.082639,224,0,0,0,13.4536,0,111
0.0833335,224,0,0,0,13.4536,0,111
0.0840279,224,0,0,0,13.4536,0,111
0.0847224,224,0,0,0,13.4536,0,111
0.0854168,224,0,0,0,13.4536,0,111
0.0861113,224,0,0,0,13.4536,0,111
0.0868057,224,0,0,0,13.4536,0,111
0.0875001,224,0,0,0,13.4536,0,111
0.0881946,224,0,0,0,13.4536,0,111
0.088889,225,0,0,0,13.4536,0,111
0.0895835,225,0,0,0,13.4536,0,111
0.0902779,225,0,0,0,13.4536,0,111
0.0909724,226,0,0,0,13.4536,0,112
0.0916668,226,0,0,0,13.4536,0,112
0.0923613,226,0,0,0,13.4536,0,112
0.0930557,226,0,0,0,13.4536,0,112
0.0937502,226,0,0,0,13.4536,0,112
0.0944446,226,0,0,0,13.4536,0,112
0.0951391,226,0,0,0,13.4536,0,112
0.0958335,226,0,0,0,13.4536,0,112
0.0965279,226,0,0,0,13.4536,0,112
0.0972224,226,0,0,0,13.4536,0,112
0.0979168,227,0,0,0,13.4536,0,112
0.0986113,227,0,0,0,13.4536,0,112
0.0993057,228,0,0,0,13.4536,0,112
0.1,228,0,0,0,13.4536,0,112
0.100695,228,0,0,0,13.4536,0,112
0.101389,228,0,0,0,13.4536,0,112
0.102084,228,0,0,0,13.4536,0,112
0.102778,228,0,0,0,13.4536,0,112
0.103472,228,0,0,0,13.4536,0,112
0.104167,229,0,0,0,13.4536,0,113
0.104861,229,0,0,0,13.4536,0,113
