x,y,z,ctl,deaths
-70,-20,0,128,1
-70,-10,-6,130,2
-70,-10,0,94,1
-70,0,-18,14,1
-70,0,-15,55,0
-70,10,-15,153,1
-60,-20,-3,22,0
-60,-20,0,154,1
-60,-10,0,169,1
-60,-10,3,22,0
-60,-10,6,5,0
-60,0,-9,24,0
-60,0,-3,64,1
-60,0,0,369,4
-60,0,3,210,1
-60,0,6,62,1
-60,10,-9,50,0
-60,20,12,17,0
-50,-40,3,89,2
-50,-30,-21,91,2
-50,-30,6,65,0
-50,-30,9,26,0
-50,-20,-21,3,0
-50,-20,6,35,0
-50,-20,9,68,0
-50,-20,12,37,0
-50,-10,-21,66,1
-50,-10,-6,39,1
-50,-10,-3,147,0
-50,-10,0,155,1
-50,-10,6,276,2
-50,-10,9,254,1
-50,-10,12,88,1
-50,-10,15,117,1
-50,-10,21,15,0
-50,0,-27,71,1
-50,0,-24,19,0
-50,0,-18,94,1
-50,0,-15,95,1
-50,0,-12,113,1
-50,0,-9,89,0
-50,0,-6,45,0
-50,0,-3,47,1
-50,0,0,55,1
-50,0,3,6,1
-50,0,6,32,1
-50,0,9,62,1
-50,0,12,62,0
-50,0,15,231,2
-50,0,24,2,0
-50,10,-21,120,0
-50,10,-18,53,0
-50,10,-12,33,0
-50,10,0,237,3
-50,10,3,66,0
-50,10,6,51,1
-50,10,21,23,1
-50,20,-9,74,0
-50,20,0,20,0
-50,20,3,31,0
-50,20,6,2,1
-50,20,9,96,2
-50,20,15,51,1
-50,20,18,147,0
-50,20,21,69,1
-50,20,24,151,0
-50,30,0,15,1
-50,30,3,119,0
-50,30,18,38,0
-50,30,24,261,3
-40,-50,-15,16,0
-40,-40,-18,94,0
-40,-40,6,65,0
-40,-30,-12,32,0
-40,-30,-9,128,2
-40,-30,-6,79,0
-40,-30,-3,265,3
-40,-30,0,71,3
-40,-30,3,188,1
-40,-30,15,153,1
-40,-30,18,96,1
-40,-30,21,38,1
-40,-20,-33,15,1
-40,-20,-24,88,0
-40,-20,-21,144,1
-40,-20,-18,160,1
-40,-20,-15,59,0
-40,-20,-12,32,0
-40,-20,-9,31,1
-40,-20,-6,52,1
-40,-20,-3,117,1
-40,-20,0,368,3
-40,-20,3,86,1
-40,-20,6,77,1
