x,y,z,ctl,deaths
-70,-10,-27,98,0
-70,-10,-24,125,0
-70,0,-27,61,1
-70,20,9,120,1
-70,20,12,30,1
-70,20,15,87,0
-70,30,12,38,0
-60,-10,-6,19,0
-60,-10,-3,110,1
-60,-10,3,17,0
-60,0,-30,30,1
-60,0,-18,69,1
-60,0,-15,59,0
-60,0,0,74,0
-60,0,3,21,1
-60,0,18,93,1
-60,0,21,132,0
-60,0,33,25,1
-60,10,9,40,0
-60,10,12,264,2
-60,20,-27,1,0
-60,20,-24,66,1
-60,20,0,9,0
-60,20,9,27,1
-60,20,12,14,1
-60,20,15,49,0
-60,30,12,63,0
-50,-60,30,19,0
-50,-60,33,58,1
-50,-50,3,52,0
-50,-50,15,36,0
-50,-40,6,103,1
-50,-30,-33,26,0
-50,-30,-30,284,3
-50,-30,-27,21,1
-50,-30,-15,47,0
-50,-30,-9,42,1
-50,-30,3,133,3
-50,-30,6,270,1
-50,-30,9,42,0
-50,-30,27,51,1
-50,-20,-33,13,0
-50,-20,-30,253,0
-50,-20,-27,58,1
-50,-20,-24,33,0
-50,-20,-9,18,0
-50,-20,-6,95,1
-50,-20,0,57,0
-50,-20,3,56,2
-50,-20,9,4,0
-50,-20,18,29,0
-50,-20,27,49,0
-50,-20,33,100,0
-50,-10,-24,46,1
-50,-10,-21,56,1
-50,-10,-18,94,0
-50,-10,-15,61,0
-50,-10,-3,62,0
-50,-10,0,50,0
-50,-10,3,120,1
-50,-10,21,65,1
-50,0,-30,30,0
-50,0,-21,76,2
-50,0,-18,75,0
-50,0,-15,111,1
-50,0,-12,10,0
-50,0,-9,24,1
-50,0,-6,43,1
-50,0,-3,51,1
-50,0,0,44,1
-50,0,6,115,1
-50,0,9,87,1
-50,0,15,163,2
-50,0,18,42,0
-50,0,21,247,0
-50,0,24,326,6
-50,0,27,207,1
-50,0,30,85,0
-50,0,33,120,0
-50,10,-33,121,0
-50,10,-30,10,0
-50,10,-27,20,0
-50,10,-18,109,0
-50,10,-15,82,3
-50,10,-9,13,0
-50,10,0,2,1
-50,10,6,29,1
-50,10,9,136,0
-50,20,-18,26,1
-50,20,-15,37,0
-50,20,-12,204,1
-50,20,-9,7,0
-50,20,-6,176,1
-50,20,-3,43,2
-50,20,0,187,2
-50,20,3,10,0
-50,20,6,88,0
-50,20,9,192,1
-50,20,12,228,4
-50,20,15,24,0
-50,20,18,73,3
-50,20,21,52,1
-50,30,-15,117,0
-50,30,-12,52,0
-50,30,-9,137,2
-50,30,-6,176,0
-50,30,-3,201,2
-50,30,12,87,1
-50,30,15,52,1
-50,40,-24,119,1
-50,40,-3,119,0
-40,-50,-30,28,0
-40,-50,0,129,1
-40,-50,9,89,2
-40,-50,21,88,1
-40,-50,33,74,1
-40,-40,-21,80,0
-40,-40,-15,137,1
-40,-40,-3,28,0
-40,-40,0,156,1
-40,-40,3,23,0
-40,-40,6,21,0
-40,-40,9,297,2
-40,-40,12,141,1
-40,-40,15,111,1
-40,-40,21,41,1
-40,-30,-24,231,2
-40,-30,-21,40,0
-40,-30,-18,5,0
-40,-30,-15,165,2
-40,-30,-12,64,1
-40,-30,-9,199,2
-40,-30,-6,20,0
-40,-30,3,82,1
-40,-30,9,178,1
-40,-30,12,33,0
-40,-30,15,81,0
-40,-30,24,101,3
-40,-30,27,155,3
-40,-20,-36,40,0
-40,-20,-24,179,2
-40,-20,-12,368,4
-40,-20,-9,181,2
-40,-20,-6,96,2
-40,-20,-3,10,2
-40,-20,0,399,5
-40,-20,3,239,4
-40,-20,6,19,1
-40,-20,9,108,0
-40,-20,12,193,2
-40,-20,15,63,4
-40,-20,21,125,2
-40,-20,24,183,1
-40,-20,27,66,1
-40,-20,33,20,0
-40,-20,36,34,1
-40,-10,-36,59,2
-40,-10,-33,205,2
-40,-10,-30,4,1
-40,-10,-27,226,1
-40,-10,-24,131,1
-40,-10,-21,348,3
-40,-10,-18,208,1
-40,-10,-15,25,0
-40,-10,-12,40,0
-40,-10,-9,241,3
-40,-10,-6,60,2
-40,-10,0,210,4
-40,-10,3,195,2
-40,-10,6,157,3
-40,-10,9,473,4
-40,-10,12,209,0
-40,-10,15,320,3
-40,-10,18,208,2
-40,-10,21,241,3
-40,-10,24,553,7
-40,-10,27,101,1
-40,-10,36,64,1
-40,0,-33,13,1
-40,0,-30,89,2
-40,0,-27,61,0
-40,0,-24,263,4
