x,y,z,ctl,deaths
-60,-60,-21,53,1
-60,-60,-18,15,0
-60,-20,-24,54,1
-60,-20,9,75,1
-60,-20,15,163,1
-60,-10,-24,33,0
-60,-10,-21,51,0
-60,-10,-18,7,0
-60,-10,-15,21,1
-60,-10,-6,165,2
-60,-10,3,110,0
-60,-10,18,9,1
-60,0,-18,97,2
-60,0,-15,159,3
-60,0,-9,2,0
-60,0,-6,76,0
-60,0,-3,50,1
-60,0,3,30,0
-60,0,12,4,0
-60,0,18,314,0
-60,0,21,107,0
-60,10,-6,120,1
-60,10,15,28,1
-60,20,-18,11,0
-60,30,-24,74,0
-60,30,-21,54,0
-60,30,-18,101,1
-60,30,24,55,3
-60,40,-6,12,0
-60,40,27,1,0
-50,-40,-3,3,1
-50,-40,3,53,1
-50,-30,-6,36,1
-50,-30,0,12,0
-50,-30,36,77,1
-50,-20,-27,59,0
-50,-20,-24,4,0
-50,-20,-18,165,1
-50,-20,-15,110,1
-50,-20,-12,48,0
-50,-20,0,9,0
-50,-20,3,162,1
-50,-20,6,120,0
-50,-20,9,37,0
-50,-20,15,69,1
-50,-20,36,32,1
-50,-10,-24,71,3
-50,-10,-21,36,1
-50,-10,-15,134,3
-50,-10,-12,5,0
-50,-10,-6,1,0
-50,-10,-3,288,3
-50,-10,0,116,4
-50,-10,3,173,0
-50,-10,6,184,3
-50,-10,9,59,1
-50,-10,12,144,0
-50,-10,30,200,1
-50,0,-21,36,0
-50,0,-18,103,3
-50,0,-15,283,2
-50,0,-12,111,0
-50,0,-9,239,5
-50,0,-6,52,1
-50,0,-3,83,0
-50,0,0,229,2
-50,0,3,231,3
-50,0,6,23,0
-50,0,9,110,1
-50,0,12,119,0
-50,0,15,187,1
-50,0,18,81,1
-50,0,21,32,0
-50,0,33,22,1
-50,0,36,122,0
-50,10,-36,27,1
-50,10,-33,120,0
-50,10,-27,120,0
-50,10,-24,5,1
-50,10,-9,192,2
-50,10,-6,169,3
-50,10,12,74,0
-50,10,15,336,5
-50,10,27,29,1
-50,10,33,43,0
-50,10,36,104,1
-50,20,-36,121,1
-50,20,-24,21,0
-50,20,-21,192,0
-50,20,-18,35,1
-50,20,0,32,1
-50,20,12,107,2
-50,20,15,133,2
-50,20,18,190,4
-50,20,30,33,1
-50,20,33,109,0
-50,30,-33,20,0
-50,30,-21,32,0
-50,30,-3,238,3
-40,-50,21,23,0
-40,-50,24,103,2
-40,-50,27,10,1
-40,-40,-21,18,0
-40,-40,-18,28,1
-40,-40,-9,12,1
-40,-40,-3,30,0
-40,-40,0,15,0
-40,-40,3,38,0
