x,y,z,ctl,deaths
-80,30,6,86,1
-70,-20,-9,309,3
-70,-20,9,120,0
-60,-20,-9,4,1
-60,-20,0,95,1
-60,-20,9,9,0
-60,-20,12,117,1
-60,-10,-12,51,1
-60,-10,-9,24,1
-60,-10,0,24,0
-60,-10,3,41,0
-60,-10,9,118,2
-60,-10,18,78,0
-60,0,-18,77,0
-60,0,-15,31,0
-60,0,-9,49,1
-60,0,0,12,1
-60,0,3,28,1
-60,0,18,42,1
-60,0,21,42,1
-60,10,-15,99,0
-60,10,-12,75,1
-60,10,-9,85,1
-60,10,-6,112,0
-60,10,0,151,0
-60,10,3,265,2
-60,10,18,2,1
-60,10,21,34,0
-60,20,-30,81,1
-60,20,-27,5,0
-60,20,-9,129,0
-60,20,-6,14,1
-60,20,12,93,1
-60,30,12,9,1
-60,30,15,94,0
-50,-40,0,30,1
-50,-40,6,2,0
-50,-30,-6,31,0
-50,-30,-3,59,0
-50,-30,15,26,1
-50,-20,-15,50,1
-50,-20,-3,116,2
-50,-20,9,48,1
-50,-20,15,55,1
-50,-20,18,42,0
-50,-10,-27,25,1
-50,-10,-21,211,3
-50,-10,-18,1,1
-50,-10,-15,8,0
-50,-10,-12,15,1
-50,-10,-9,360,5
-50,-10,-6,62,2
-50,-10,-3,12,0
-50,-10,0,72,1
-50,-10,3,113,2
-50,-10,6,13,0
-50,-10,12,10,2
-50,-10,15,162,4
-50,0,-21,47,0
-50,0,-18,17,0
-50,0,-15,160,1
-50,0,-12,262,3
-50,0,-9,290,4
-50,0,-6,213,2
-50,0,-3,116,1
-50,0,0,23,0
-50,0,3,101,0
-50,0,6,120,0
-50,0,12,186,2
-50,0,18,11,0
-50,0,21,23,1
-50,10,-27,54,1
-50,10,-24,65,1
-50,10,-21,91,0
-50,10,-9,38,2
-50,10,-6,157,1
-50,10,-3,97,1
-50,10,3,15,1
-50,10,9,33,1
-50,10,15,29,1
-50,20,-33,108,2
-50,20,-18,91,2
-50,20,-15,373,5
-50,20,-12,185,4
-50,20,-9,16,0
-50,20,0,198,3
-50,30,-9,13,0
-50,30,-6,131,1
-50,30,-3,66,1
-50,30,12,47,0
-50,30,15,14,0
-40,-60,9,154,0
-40,-50,24,115,0
-40,-40,-30,32,1
-40,-40,-27,109,0
-40,-40,-6,58,0
-40,-40,-3,46,1
-40,-30,-33,54,0
-40,-30,-15,75,2
-40,-30,-12,20,0
-40,-30,-6,59,0
-40,-30,-3,255,2
-40,-30,0,46,0
-40,-30,3,27,2
-40,-30,6,196,2
-40,-30,18,71,0
-40,-30,24,321,1
-40,-30,27,105,1
-40,-20,-33,50,2
-40,-20,-30,48,0
-40,-20,-27,6,1
-40,-20,-21,340,4
-40,-20,-18,144,2
-40,-20,-15,63,1
-40,-20,-9,121,3
-40,-20,-6,273,2
-40,-20,-3,126,2
-40,-20,0,63,3
-40,-20,3,357,4
-40,-20,6,103,2
-40,-20,9,18,0
-40,-20,15,87,1
-40,-20,18,200,2
-40,-20,21,44,0
-40,-20,24,67,3
-40,-20,36,84,1
-40,-10,-36,26,2
-40,-10,-33,38,1
-40,-10,-27,63,1
-40,-10,-24,258,3
-40,-10,-21,182,2
-40,-10,-18,97,1
-40,-10,-15,94,0
-40,-10,-12,21,0
-40,-10,-9,95,1
-40,-10,-6,653,4
-40,-10,-3,346,2
-40,-10,0,432,6
-40,-10,3,68,2
-40,-10,6,130,1
-40,-10,9,40,1
-40,-10,12,347,3
-40,-10,15,302,3
-40,-10,18,256,4
-40,-10,21,144,2
-40,-10,24,35,1
-40,-10,30,18,0
-40,-10,33,156,0
-40,-10,36,118,0
-40,0,-30,73,1
-40,0,-27,282,2
-40,0,-24,280,2
-40,0,-21,348,7
-40,0,-18,564,7
-40,0,-15,70,2
-40,0,-12,23,1
-40,0,-9,465,4
-40,0,-6,279,4
-40,0,-3,138,2
-40,0,0,142,2
-40,0,3,372,4
-40,0,6,419,3
-40,0,9,252,1
-40,0,12,131,1
-40,0,15,64,2
-40,0,18,17,0
-40,0,21,63,2
-40,0,24,249,0
-40,0,27,6,0
-40,0,30,161,2
-40,0,36,158,1
-40,10,-36,12,0
-40,10,-33,29,1
-40,10,-24,222,0
-40,10,-21,46,1
-40,10,-18,198,4
-40,10,-15,38,1
-40,10,-12,20,0
-40,10,-9,114,5
-40,10,-6,453,4
-40,10,-3,116,0
-40,10,0,213,3
-40,10,3,234,2
-40,10,6,395,3
-40,10,9,69,3
-40,10,12,131,1
-40,10,15,84,0
-40,10,18,158,4
-40,10,21,77,0
-40,10,24,30,0
-40,10,27,1,1
-40,10,36,84,1
-40,20,-36,49,1
-40,20,-33,12,1
-40,20,-30,26,1
-40,20,-27,7,0
-40,20,-24,9,1
-40,20,-21,26,0
-40,20,-12,187,1
-40,20,-9,159,2
-40,20,-6,41,1
-40,20,-3,293,3
-40,20,0,147,1
-40,20,3,274,2
-40,20,6,27,1
-40,20,9,348,6
-40,20,12,47,1
-40,20,15,288,2
-40,20,18,127,4
-40,20,21,116,1
-40,20,24,345,3
-40,30,-15,98,2
-40,30,-12,265,2
-40,30,-6,186,2
-40,30,-3,441,1
-40,30,0,187,1
-40,30,3,113,0
-40,30,6,32,0
-40,30,9,19,2
-40,30,12,82,1
-40,40,0,48,3
-40,40,6,46,0
-40,40,18,263,0
-40,40,21,42,1
-30,-60,-27,45,0
-30,-60,-24,71,1
-30,-60,-21,120,0
-30,-50,-27,66,1
-30,-50,-24,27,1
-30,-50,-21,78,0
-30,-50,-18,4,0
-30,-50,-12,10,0
-30,-50,-9,22,0
-30,-50,3,120,0
-30,-50,18,109,1
-30,-50,21,265,3
-30,-50,24,88,2
-30,-50,27,41,0
-30,-40,-24,76,1
-30,-40,-21,42,1
-30,-40,-18,130,0
-30,-40,-15,74,0
-30,-40,-12,80,3
-30,-40,-6,2,1
-30,-40,0,303,2
-30,-40,3,9,0
-30,-40,9,9,0
-30,-40,18,36,1
-30,-40,21,188,1
-30,-40,24,97,0
-30,-40,27,36,1
-30,-30,-27,253,2
-30,-30,-24,19,2
-30,-30,-21,232,1
-30,-30,-18,76,1
-30,-30,-15,46,0
-30,-30,-9,76,0
-30,-30,-6,65,0
-30,-30,-3,44,1
-30,-30,0,160,2
-30,-30,3,92,5
-30,-30,6,73,0
-30,-30,9,141,2
-30,-30,12,13,1
-30,-30,15,25,0
-30,-30,18,1,0
-30,-30,21,4,1
-30,-30,24,217,1
-30,-30,27,148,0
-30,-30,33,19,0
-30,-20,-36,128,4
-30,-20,-33,71,0
-30,-20,-30,2,1
-30,-20,-27,160,1
-30,-20,-24,213,3
-30,-20,-21,226,3
-30,-20,-18,470,4
-30,-20,-15,356,3
-30,-20,-12,271,4
-30,-20,-9,418,2
-30,-20,-6,378,4
-30,-20,-3,193,0
-30,-20,0,463,5
-30,-20,3,224,1
-30,-20,6,154,2
-30,-20,9,103,1
-30,-20,12,123,0
-30,-20,15,319,0
-30,-20,18,350,6
-30,-20,21,178,2
-30,-20,24,39,0
-30,-20,27,18,0
-30,-20,30,45,0
-30,-20,36,15,0
-30,-10,-36,37,1
-30,-10,-33,104,0
-30,-10,-30,14,0
-30,-10,-27,178,3
-30,-10,-24,270,5
-30,-10,-21,106,1
-30,-10,-18,141,1
-30,-10,-15,373,2
-30,-10,-12,343,3
-30,-10,-9,94,2
-30,-10,-6,130,2
-30,-10,-3,308,4
-30,-10,0,251,3
-30,-10,3,46,0
-30,-10,6,186,3
-30,-10,9,232,2
-30,-10,12,36,0
-30,-10,15,77,1
-30,-10,18,60,2
-30,-10,21,83,5
-30,-10,24,267,2
-30,-10,30,43,0
-30,-10,33,53,1
-30,-10,36,62,2
-30,0,-36,110,1
-30,0,-33,148,2
-30,0,-30,51,1
-30,0,-27,186,0
-30,0,-24,76,1
-30,0,-21,651,1
-30,0,-18,103,5
-30,0,-15,417,7
-30,0,-12,119,3
-30,0,-9,400,5
-30,0,-6,479,6
-30,0,-3,542,7
-30,0,0,712,7
-30,0,3,574,7
-30,0,6,436,6
-30,0,9,382,3
-30,0,12,20,1
-30,0,15,80,1
-30,0,18,77,0
-30,0,21,252,4
-30,0,24,286,4
-30,0,27,174,3
-30,0,33,135,1
-30,0,36,44,0
-30,10,-33,166,1
-30,10,-30,151,5
-30,10,-27,315,3
-30,10,-24,277,1
-30,10,-21,10,0
-30,10,-18,142,2
-30,10,-15,218,3
-30,10,-12,33,0
-30,10,-9,185,2
-30,10,-6,119,0
-30,10,-3,357,2
-30,10,0,138,2
-30,10,3,113,3
-30,10,6,231,5
-30,10,9,511,6
-30,10,12,49,0
-30,10,15,186,3
-30,10,18,30,1
-30,10,21,258,1
-30,10,24,115,1
-30,10,27,545,4
-30,10,30,149,0
-30,20,-36,235,4
-30,20,-33,10,1
-30,20,-30,1,0
-30,20,-27,165,4
-30,20,-24,50,0
-30,20,-21,80,1
-30,20,-18,186,3
-30,20,-15,57,2
-30,20,-12,403,1
-30,20,-9,375,3
-30,20,-6,385,4
-30,20,-3,296,3
-30,20,0,134,4
-30,20,3,245,0
-30,20,6,171,0
-30,20,9,101,0
-30,20,12,380,4
-30,20,15,175,1
-30,20,18,38,0
-30,20,21,68,2
-30,20,24,142,1
-30,20,30,8,0
-30,20,36,1,1
-30,30,-36,29,1
-30,30,-30,7,0
-30,30,-24,120,0
-30,30,-12,68,0
-30,30,-9,111,1
-30,30,-6,6,1
-30,30,-3,307,4
-30,30,0,169,3
-30,30,6,20,0
-30,30,9,25,1
-30,30,12,82,2
-30,30,15,188,8
-30,30,18,119,0
-30,30,24,50,1
-30,30,36,206,4
-30,40,-30,39,0
-30,40,-18,11,1
-30,40,-15,131,3
-30,40,-12,129,0
-30,40,-6,120,1
-30,40,-3,120,0
-30,40,0,248,5
-30,40,3,110,1
-30,40,6,140,3
-30,40,9,31,2
-30,40,12,136,3
-30,40,18,12,1
-30,40,24,57,0
-30,50,-9,74,1
-30,50,-6,202,3
-30,50,-3,157,3
-30,50,0,13,0
-30,50,12,68,1
-30,50,18,62,0
-30,50,21,67,0
-30,50,24,31,1
-20,-60,-24,46,1
-20,-60,-9,45,1
-20,-50,-27,185,2
-20,-50,-24,48,0
-20,-50,-21,91,2
-20,-50,-12,48,0
-20,-50,3,276,1
-20,-40,-24,117,1
-20,-40,-21,134,3
-20,-40,-15,482,6
-20,-40,-12,269,1
-20,-40,-9,51,1
-20,-40,-6,12,1
-20,-40,-3,40,0
-20,-40,0,495,0
-20,-40,3,38,2
-20,-40,6,119,1
-20,-40,9,204,0
-20,-40,12,37,3
-20,-40,15,25,0
-20,-40,18,30,0
-20,-40,21,272,3
-20,-40,24,77,1
-20,-40,27,89,1
-20,-30,-36,53,2
-20,-30,-33,204,4
-20,-30,-30,236,1
-20,-30,-27,51,0
-20,-30,-24,121,5
-20,-30,-21,172,1
-20,-30,-15,388,2
-20,-30,-12,86,2
-20,-30,-9,104,2
-20,-30,-6,118,1
-20,-30,-3,125,1
-20,-30,0,268,2
-20,-30,3,21,0
-20,-30,6,77,1
-20,-30,9,81,1
-20,-30,12,125,1
-20,-30,15,488,7
-20,-30,18,308,5
-20,-30,21,165,2
-20,-30,24,67,1
-20,-30,27,30,0
-20,-30,30,182,1
-20,-30,33,59,0
-20,-30,36,183,0
-20,-20,-36,61,1
-20,-20,-33,261,3
-20,-20,-30,291,3
-20,-20,-27,225,3
-20,-20,-24,69,0
-20,-20,-21,216,2
-20,-20,-18,356,4
-20,-20,-15,310,4
-20,-20,-12,421,4
-20,-20,-9,422,7
-20,-20,-6,178,1
-20,-20,-3,447,5
-20,-20,0,544,9
-20,-20,3,702,10
-20,-20,6,396,2
-20,-20,9,173,0
-20,-20,12,143,2
-20,-20,15,399,5
-20,-20,18,446,5
-20,-20,21,258,1
-20,-20,24,178,1
-20,-20,27,174,3
-20,-20,30,131,0
-20,-20,33,22,0
-20,-20,36,25,0
-20,-10,-36,373,2
-20,-10,-33,23,1
-20,-10,-30,532,3
-20,-10,-27,57,1
-20,-10,-24,241,3
-20,-10,-21,235,4
-20,-10,-18,320,2
-20,-10,-15,467,5
-20,-10,-12,522,6
-20,-10,-9,566,9
-20,-10,-6,1118,10
-20,-10,-3,411,3
-20,-10,0,351,3
-20,-10,3,544,5
-20,-10,6,240,2
-20,-10,9,123,0
-20,-10,12,223,2
-20,-10,15,309,2
-20,-10,18,418,2
-20,-10,21,266,4
-20,-10,24,488,3
-20,-10,27,262,0
-20,-10,30,312,0
-20,-10,33,341,2
-20,-10,36,173,2
-20,0,-36,377,6
-20,0,-33,745,3
-20,0,-30,51,2
-20,0,-27,369,5
-20,0,-24,394,8
-20,0,-21,419,8
-20,0,-18,639,5
-20,0,-15,449,4
-20,0,-12,1199,12
-20,0,-9,203,6
-20,0,-6,578,3
-20,0,-3,804,3
-20,0,0,661,3
-20,0,3,713,8
-20,0,6,1576,19
-20,0,9,743,7
-20,0,12,309,7
-20,0,15,619,5
-20,0,18,310,6
-20,0,21,385,0
-20,0,24,267,7
-20,0,27,394,3
-20,0,30,81,2
-20,0,33,282,4
-20,0,36,40,2
-20,10,-36,187,1
-20,10,-33,76,2
-20,10,-30,160,3
-20,10,-27,186,3
-20,10,-24,464,5
-20,10,-21,175,0
-20,10,-18,305,2
-20,10,-15,264,2
-20,10,-12,585,6
-20,10,-9,661,7
-20,10,-6,604,7
-20,10,-3,443,3
-20,10,0,794,7
-20,10,3,350,3
-20,10,6,451,3
-20,10,9,337,6
-20,10,12,582,7
-20,10,15,370,5
-20,10,18,233,4
-20,10,21,96,2
-20,10,24,245,7
-20,10,27,255,5
-20,10,30,117,1
-20,10,33,158,2
-20,10,36,101,0
-20,20,-30,379,3
-20,20,-27,249,2
-20,20,-24,113,1
-20,20,-21,588,3
-20,20,-18,279,3
-20,20,-15,425,4
-20,20,-12,473,5
-20,20,-9,501,9
-20,20,-6,634,4
-20,20,-3,572,7
-20,20,0,376,6
-20,20,3,766,8
-20,20,6,544,7
-20,20,9,391,7
-20,20,12,681,11
-20,20,15,167,3
-20,20,18,209,1
-20,20,21,194,0
-20,20,24,112,3
-20,20,27,53,0
-20,20,30,154,1
-20,20,33,31,1
-20,20,36,42,1
-20,30,-36,81,0
-20,30,-33,127,1
-20,30,-30,161,3
-20,30,-27,109,0
-20,30,-24,112,2
-20,30,-21,8,0
-20,30,-18,396,4
-20,30,-15,198,2
-20,30,-12,275,4
-20,30,-9,295,4
-20,30,-6,140,2
-20,30,-3,49,1
-20,30,3,201,1
-20,30,6,588,1
-20,30,9,26,1
-20,30,12,364,3
-20,30,15,141,1
-20,30,18,60,1
-20,30,21,49,2
-20,30,24,20,1
-20,30,27,240,2
-20,30,30,192,2
-20,30,36,77,1
-20,40,-30,209,2
-20,40,-27,84,1
-20,40,-24,41,1
-20,40,-15,57,1
-20,40,-12,270,4
-20,40,-9,429,3
-20,40,-6,96,4
-20,40,-3,136,1
-20,40,0,265,4
-20,40,3,193,1
-20,40,6,91,0
-20,40,9,3,0
-20,40,12,89,2
-20,40,15,135,0
-20,40,18,88,0
-20,40,21,130,3
-20,40,24,55,0
-20,40,30,23,1
-20,40,36,20,2
-20,50,-3,8,1
-20,50,0,96,2
-20,50,15,21,0
-20,50,18,15,0
-20,50,21,20,0
-10,-70,21,43,1
-10,-60,-33,8,1
-10,-60,-12,9,1
-10,-60,-9,31,1
-10,-60,18,93,0
-10,-60,21,22,1
-10,-60,30,91,1
-10,-50,-33,246,1
-10,-50,-30,90,0
-10,-50,-27,10,0
-10,-50,-12,34,2
-10,-50,-9,83,0
-10,-50,-6,2,0
-10,-50,3,3,1
-10,-40,-33,101,1
-10,-40,-30,132,1
-10,-40,-27,74,1
-10,-40,-24,8,1
-10,-40,-21,177,1
-10,-40,-18,174,1
-10,-40,-15,325,2
-10,-40,-12,563,4
-10,-40,-9,46,2
-10,-40,-6,72,0
-10,-40,-3,211,1
-10,-40,0,226,5
-10,-40,3,237,0
-10,-40,6,377,1
-10,-40,9,94,4
-10,-40,15,162,1
-10,-40,24,260,1
-10,-40,27,12,2
-10,-40,30,119,1
-10,-40,33,26,2
-10,-30,-36,47,2
-10,-30,-33,348,3
-10,-30,-30,120,0
-10,-30,-24,275,1
-10,-30,-21,321,2
-10,-30,-18,301,2
-10,-30,-15,129,2
-10,-30,-12,73,2
-10,-30,-9,105,0
-10,-30,-6,268,3
-10,-30,-3,299,3
-10,-30,0,448,4
-10,-30,3,133,2
-10,-30,6,173,2
-10,-30,9,80,1
-10,-30,12,148,2
-10,-30,15,255,5
-10,-30,18,57,1
-10,-30,21,106,1
-10,-30,27,277,2
-10,-30,30,125,2
-10,-30,33,101,3
-10,-30,36,16,0
-10,-20,-36,255,3
-10,-20,-33,457,0
-10,-20,-30,438,5
-10,-20,-27,47,1
-10,-20,-24,109,2
-10,-20,-21,139,2
-10,-20,-18,684,7
-10,-20,-15,454,4
-10,-20,-12,491,10
-10,-20,-9,485,5
-10,-20,-6,415,4
-10,-20,-3,795,5
-10,-20,0,749,5
-10,-20,3,168,3
-10,-20,6,406,6
-10,-20,9,355,5
-10,-20,12,638,6
-10,-20,15,236,2
-10,-20,18,651,10
-10,-20,21,178,3
-10,-20,24,312,2
-10,-20,27,79,0
-10,-20,33,189,0
-10,-20,36,12,0
-10,-10,-36,197,4
-10,-10,-33,363,4
-10,-10,-30,254,3
-10,-10,-27,410,3
-10,-10,-24,214,3
-10,-10,-21,152,4
-10,-10,-18,380,5
-10,-10,-15,526,4
-10,-10,-12,304,6
-10,-10,-9,200,4
-10,-10,-6,684,8
-10,-10,-3,570,5
-10,-10,0,247,1
-10,-10,3,293,2
-10,-10,6,472,7
-10,-10,9,801,8
-10,-10,12,540,9
-10,-10,15,170,2
-10,-10,18,563,7
-10,-10,21,525,4
