x,y,z,ctl,deaths
-40,-10,6,310,2
-40,-10,9,53,0
-40,-10,12,172,1
-40,-10,15,178,1
-40,-10,18,23,1
-40,-10,24,10,1
-40,-10,27,104,2
-40,-10,33,163,1
-40,0,-36,173,1
-40,0,-33,46,0
-40,0,-30,88,0
-40,0,-27,326,2
-40,0,-24,85,1
-40,0,-21,61,0
-40,0,-18,304,2
-40,0,-15,217,1
-40,0,-12,310,2
-40,0,-9,450,3
-40,0,-6,569,4
-40,0,-3,368,3
-40,0,0,457,8
-40,0,3,319,0
-40,0,6,78,0
-40,0,9,232,2
-40,0,12,21,0
-40,0,15,98,2
-40,0,18,155,1
-40,0,21,138,1
-40,0,24,353,3
-40,0,27,174,1
-40,0,30,73,1
-40,0,33,186,1
-40,10,-36,310,1
-40,10,-33,154,1
-40,10,-30,42,0
-40,10,-27,81,1
-40,10,-24,153,0
-40,10,-21,88,2
-40,10,-15,166,1
-40,10,-12,565,4
-40,10,-9,153,1
-40,10,-6,92,1
-40,10,-3,186,1
-40,10,0,298,2
-40,10,3,254,0
-40,10,6,137,1
-40,10,9,73,0
-40,10,12,41,1
-40,10,15,85,1
-40,10,18,80,1
-40,10,21,42,2
-40,10,24,126,2
-40,10,30,20,0
-40,20,-33,149,0
-40,20,-30,131,0
-40,20,-27,59,1
-40,20,-21,93,0
-40,20,-18,191,3
-40,20,-15,3,0
-40,20,-12,85,0
-40,20,-9,152,2
-40,20,-6,91,1
-40,20,-3,153,1
-40,20,0,297,4
-40,20,3,272,2
-40,20,6,53,0
-40,20,9,31,0
-40,20,12,415,4
-40,20,15,157,1
-40,20,18,5,0
-40,20,24,66,1
-40,20,27,131,2
-40,20,33,48,0
-40,30,-30,107,0
-40,30,-27,82,1
-40,30,-24,49,0
-40,30,-21,78,1
-40,30,-18,71,1
-40,30,-6,101,1
-40,30,-3,52,1
-40,30,0,86,0
-40,30,3,36,1
-40,30,6,37,0
-40,30,12,108,0
-40,30,24,49,0
-40,30,27,203,1
-40,30,30,185,1
-40,30,33,142,1
-40,30,36,113,2
-40,40,-27,107,0
-40,40,-24,86,0
-40,40,-21,4,0
-40,40,-18,46,1
-40,40,3,53,1
-40,40,18,95,1
-40,40,21,53,1
-40,50,-15,143,1
-30,-50,-3,96,0
-30,-50,0,53,1
-30,-50,33,51,1
-30,-40,-15,30,1
-30,-40,-9,91,0
-30,-40,-6,52,1
-30,-40,-3,66,0
-30,-40,0,27,0
-30,-40,3,69,1
-30,-40,6,47,0
-30,-40,9,89,2
-30,-40,12,48,0
-30,-40,15,92,1
-30,-40,27,1,1
-30,-30,-36,76,0
-30,-30,-33,40,0
-30,-30,-24,39,1
-30,-30,-21,234,3
-30,-30,-18,112,0
-30,-30,-15,48,1
-30,-30,-12,39,0
-30,-30,-9,11,1
-30,-30,-6,85,1
-30,-30,-3,35,1
-30,-30,0,286,1
-30,-30,3,63,1
-30,-30,6,133,3
