x,y,z,ctl,deaths
-70,-10,0,5,1
-70,0,3,32,1
-70,0,6,163,2
-70,0,9,44,1
-70,0,15,7,1
-60,-40,9,15,0
-60,-20,9,11,0
-60,-10,-3,73,0
-60,-10,0,92,1
-60,-10,3,232,1
-60,-10,6,87,1
-60,-10,18,26,0
-60,-10,24,83,1
-60,0,-12,2,0
-60,0,-6,21,0
-60,0,-3,118,1
-60,0,0,66,1
-60,0,3,204,1
-60,0,6,274,3
-60,0,12,73,0
-60,10,15,122,2
-60,20,-9,214,2
-60,20,-6,31,1
-60,20,33,103,0
-60,30,21,7,1
-50,-50,3,13,1
-50,-40,0,53,0
-50,-40,12,87,2
-50,-30,-21,54,2
-50,-30,-18,107,0
-50,-30,-15,26,1
-50,-30,-12,200,1
-50,-30,-3,83,0
-50,-30,0,116,1
-50,-30,3,132,1
-50,-30,6,51,2
-50,-30,15,92,0
-50,-30,18,28,0
-50,-20,-12,23,1
-50,-20,-6,9,1
-50,-20,15,111,1
-50,-20,18,123,2
-50,-20,21,295,3
-50,-10,-30,3,1
-50,-10,-24,29,0
-50,-10,-21,141,1
-50,-10,-18,277,3
-50,-10,-15,159,3
-50,-10,-12,74,1
-50,-10,-9,177,3
-50,-10,0,60,1
-50,-10,9,4,0
-50,-10,12,46,1
-50,-10,33,4,1
-50,0,-15,3,1
-50,0,-12,110,0
-50,0,0,231,1
-50,0,3,362,1
-50,0,6,96,4
-50,0,9,57,0
-50,0,12,38,1
-50,0,15,102,0
-50,0,18,61,0
-50,0,21,102,1
-50,0,24,45,0
-50,0,30,131,1
-50,10,-33,8,0
-50,10,-30,7,0
-50,10,-24,35,0
-50,10,-21,29,0
-50,10,-18,53,2
-50,10,-12,59,1
-50,10,-9,75,2
-50,10,-6,34,0
-50,10,-3,111,0
-50,10,0,9,0
-50,10,6,14,0
-50,10,9,5,1
-50,10,12,40,0
-50,10,15,62,1
-50,10,21,1,0
-50,10,24,119,0
-50,10,27,42,2
-50,10,30,40,0
-50,20,-15,83,1
-50,20,-12,52,1
-50,20,-9,51,1
-50,20,9,256,2
-50,20,12,62,1
-50,20,21,255,0
-50,30,-12,33,0
-50,30,-9,84,1
-50,30,18,42,0
-50,30,21,34,0
-50,40,-9,58,1
-40,-60,-12,28,1
-40,-60,0,120,0
-40,-60,3,63,1
-40,-50,0,2,0
-40,-40,-6,93,0
-40,-40,0,78,2
